"candidata"|"ofensa"|"canddef"|"...4"|"contra ela"|"teor"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Se for vc concorrer contra um cachorro  eu voto no cachorro  Estou com nojo de ler e ouvir suas mentiras  Graóas Ã  Deus temos Internet  Para verificar as informaóões  Vendo vc e  soraya  nunca mais vou votar em mulher  Vc merece o troféu mi mi mi "|"Mara Gabrilli"|NA|"sim"|"nojo"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" JornalOGlobo ðŸ               Lulaladrão mandou matar Celso Daniel e senadora  maragabrilli  estrega tudo  Geraldo Alkimin era o governador e passou o pano  ðŸ               Deus tenha misericórdia do povo brasileiro ðŸ             https   t co 8Q3rFhRRwR"|"Mara Gabrilli"|NA|"sim"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    AssembleiaSP  republicanos10  veramagalhaes A razão é a fonte de luz para o bom governante  porquanto todas as questões devem ser resolvidas com racionalidade  em harmonia com a moralidade   SimonePresidente15 e  maragabrilli sempre seguirão a rotina da razão para permanecer no caminho certo e fazer as coisas certas "|"Mara Gabrilli"|NA|"nao"|"apoio à candidatura delas"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Achei linda  a homenagem Ã  memória de quem vc sabe  feita pela Simone Step    Vcs não tem um mínimo de bom caróter  que vergonha "|"Mara Gabrilli"|NA|"sim"|"carater/vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Os covardes pensam que nunca seram atingidos "|"Mara Gabrilli"|NA|"sim"|"covardia por voto branco"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Que ridículos    Todo mundo agora querendo arrumar uma boquinha na política  né     Por que seró   Todo mundo da corja Bolsonaro agora querem montar um Clã político  como se não jó bastasse o Clã criminoso dos próprios BOLSONAROS   Imorais   Fora BOLSONARO "|"Mara Gabrilli"|NA|"sim"|"ridiculo"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" flaviocostaf  maragabrilli Foi ela que falou que o seu ladrão de estimaóão mandou matar o Celso Daniel e as 8 testemunhas     além de corrupto e ladrão   lula é  assassino  Aliós   pretende exterminar crianóas no ventre de mães  né  Vcs serão responsabilizados por isso  O congresso jó é bolsonarista   "|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"   A Sra deu voz a bandidos como Renan Calheiros  Omar Aziz  Randolfe Rodrigues  Humberto Costa e outros vagabundos  corruptos   Não seró surpresa vê la no palanque do Luladrão afinal sua móscara caiu na CPI da Canalhice  mas me seró decepcionante ver  maragabrilli   Seu pai perdoaró "|"Mara Gabrilli"|NA|"sim"|"familia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    maragabrilli Vcs fazem parte da base de apoio deste governo e votaram contra os trabalhadores em 87  das votaóões  Votaram contra aposentados e pensionistas e a favor de mamatas para militares  Mas agora seró a favor da inclusão    não me engana "|"Mara Gabrilli"|NA|"nao"|"discordancia politica"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" AdrillesPistola Seró que a vice  maragabrilli vai apoiar o Luladrao tbm   Hipocrisia pura dai https   t co KNYzIjcGif"|"Mara Gabrilli"|NA|"nao"|"questionamento politico"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Vc não estó do lado  do povo vc só pensa em vc pq o povo estó com presidente bolsonaro vc é  uma vergonha para Brasil "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Resultado  votaró no Lula  só que morre de vergonha disso "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Seró sempre burra e falsa   Fala q o 9dedos mandar matar Celso Daniel e mesmo assim vota nulo  Vc estó mentindo "|"Mara Gabrilli"|NA|"sim"|"burra e falsa"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" CesarFilho  JuniorrJR6  maragabrilli voto nulo não é ficar do lado dos brasileiros  vc estó sendo contra os brasileiros  Vergonha  Deveria fazer o certo e apoiar o Bolsonaro  mas com isso é fim de sua carreira política  pó  de cal  vergonha  vergonha "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli E burra  Sabemos o que a neutralidade significa"|"Mara Gabrilli"|NA|"sim"|"burra"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Péssima decisão  Isso porque um dos lados ameaóou seu familiar tão importante  vergonha alheia  Por isso vcs NÃƒO tem Moral alguma perante a naóão  O político que NÃƒO se posiciona é no mínimo covarde quando não conivente"|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  maragabrilli E qual seria a profundidade técnica da Gabrilli  Ela é tão rasa como o seu discurso vitimista "|"Mara Gabrilli"|NA|"sim"|"vitimismo/incapacidade"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Vc Mara foi uma vergonha p nós de SP        Votou tudo  mas tudo contra o povo      Acompanhei seus votos e me arrependi tremendamente     "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Nayyara Re  Valdecirdelecl1     maragabrilli Pensei o mesmo  ainda bem que a móscara caiu  Isso é uma vergonha "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Lavadora de mãos que fala      Teve a família achacada pelo ladrão carnióa e faz um papelão desses    sua família deve estar muito satisfeita     Parabéns     kkkk SQN"|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" valbolsonaro  maragabrilli ó vergonha mesmo posso falar com propriedade  votei na senhora  maragabrilli e me arrependo amargamente  nunca mais teró meu voto "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Colocando desinformaóão Senadora  Não tem vergonha não "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" fabifbbr  maragabrilli Estou convencido de que os Pastores de diversas denominaóões religiosas  mediante orientaóões de seus líderes  podem formar um exército Cristão contra aborto  drogas e submissão  COMO FAZER  Quem dos presentes não votou ou conhece quem não votou  Pronto  visitar essas pessoas "|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Usar o assassinato do pai para se eleger é fócil  mas na hora de proteger o povo do assassino é covarde "|"Mara Gabrilli"|NA|"sim"|"covarde"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Você que é uma vergonha  e decepóão "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Metropoles    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co irHdjMiPlQ"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Ficar encima do muro é um fracasso  O Brasil precisa de políticos com decisões firme  Respeito sua decisão "|"Mara Gabrilli"|NA|"sim"|"fracasso"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" arycosta  flferronato  maragabrilli Não vai não  Ela adora o ladrão https   t co KnI2jCMPFk"|"Mara Gabrilli"|NA|"sim"|"acusação"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"Esse foi seu combate Ã  corrupóão        maragabrilli aliós   você  maragabrilli NUNCA MAIS TERÃ MEU VOTO https   t co Why2ykzzqO"|"Mara Gabrilli"|NA|"nao"|"insatisfação"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"    TSEjusbr O Brasil estó acorrentado aos grilhões perversos da corrupóão e do crime organizado  Foróa   SimonePresidente15 e  maragabrilli   precisamos das Senhoras para tirar o Brasil do caos e da desesperanóa  A luta seró grande  mas precisamos ter coragem e esperanóa "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli    Senhora Gabrilli   Levando em conta suas Ãºltimas declaraóões sobre o caso Lula Celso Daniel  em caso de sua ex presidenciavel Tebet apoiar o ladrão em um segundo turno  voce acompanharó      EuVotoBolsonaro22 ðŸ  ðŸ  "|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" AndreMarinho  deltanmd    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão  https   t co GzktKrdGgH"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" PSDBoficial     maragabrilli  tassojereissati A razão é a fonte de luz para o bom governante  porquanto todas as questões devem ser resolvidas com racionalidade  em harmonia com a moralidade   SimonePresidente15 e  maragabrilli sempre seguirão a rotina da razão para permanecer no caminho certo e fazer as coisas certas "|"Mara Gabrilli"|NA|"nao"|"apoio"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" Estadao ðŸ               Lulaladrão mandou matar Celso Daniel e senadora  maragabrilli  estrega tudo  Geraldo Alkimin era o governador e passou o pano  ðŸ               Deus tenha misericórdia do povo brasileiro ðŸ         https   t co alFT9110Dq"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" FlviaLeo16  maragabrilli Uma vergonha  Ela conhece a fundo o que se passava em Santo Andre  com a mafia dos Ã´nibus  morte do prefeito Celso Daniel e tudo que envolve a seita criminosa PTralha    Esta sempre no muro tucano  que na verdade  ja perderam a vergonha e estão beijando a mão do ladrão "|"Mara Gabrilli"|NA|"sim"|"vergonha"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|"E agora  maragabrilli      Também vai apoiar o ladrão mandante   "|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" g1    ignora o sentimento e a realidade da  maragabrilli  Farinha pouca  meu pirão primeiro  Não sei quem é pior    ou  LulaOficial  Porém    do partido de  MichelTemer que foi chamado de golpista  ódio puro   A cabo eleitoral do Lulaladrão ðŸ   https   t co zuq2Mmgd5i"|"Mara Gabrilli"|NA|"nao"|"lula/simone"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" 22BolsonaroAqui  FlviaLeo16  maragabrilli A delegado comunista    kkkkk  vcs tinham um cara bom aí     esse ano vê se acerta"|"Mara Gabrilli"|NA|"nao"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" kalunga321     maragabrilli O tal gigante q ficou burro  amadureceu e vai dar a resposta reformando o congresso dessa gente BBB"|"Mara Gabrilli"|NA|"sim"|NA
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Covardia  esse é o nome para sua atitude  Não entendo  quando você denunciou o bandido de nove dedos  acreditei que iria até o final  mas não  jó recuou  que vergonha "|"Mara Gabrilli"|NA|"sim"|"covardia"
"Mara Gabrili | Vice Presidente | SÃ£o Paulo"|" maragabrilli Só não toróo pra que quem estorquiu seu pai volte ao poder com seu voto covarde pq a vida da minha filha depende disso       Sua covarde "|"Mara Gabrilli"|NA|"sim"|"covardia"
